company,industry,website,phone,contact,location,summary,automation_opportunities,status,date_added,date_contacted,notes
Elite Hair,Hair Salon,https://elitehair.co.za/,041 581 0090,info@elitehair.co.za,"254 Main Road, Walmer, Gqeberha","Established salon on Main Road, Walmer.","WhatsApp booking/pricing assistant; missed-call text-back; reminders and rebooking prompts",drafted,2026-07-14,,"Batch 2/3. Gmail draft created with branded signature, ready to send. Email found via search - confirm on their site if unsure."
Serendipity Hair Salon,Hair Salon,,,,"14 Alma Street, Newton Park, Gqeberha","Family salon; cuts, blow-dries and treatments. Bookings via Fresha.","WhatsApp booking assistant; missed-call text-back; reminders to cut no-shows",researched,2026-07-14,,"Batch 2. No email/phone confirmed - find a contact channel (Fresha/Google listing) before sending. Draft in drafts/serendipity-hair-salon.md"
Tapas Bar & Restaurant,Restaurant,https://www.facebook.com/TapasPE/,+27 71 680 0340,info@tapas.co.za,"145 Main Rd, Walmer, Gqeberha","Bar & restaurant on Main Road, Walmer.","WhatsApp reservation assistant; missed-call text-back; no-show reminders; review requests",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Southern Cross Veterinary Clinic,Veterinary,http://www.scvc.co.za/,041 373 4243,scvc@corpdial.co.za,"8 Salisbury Avenue, Mill Park, Gqeberha","Established veterinary clinic with after-hours emergency line.","24/7 WhatsApp booking/hours assistant; missed-call text-back; appointment reminders",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Edge Fitness Clubs (Walker Drive),Gym,https://edgefitness.co.za/,041 008 5017,query@edgefitness.co.za,"Walker Drive, Gqeberha","Gym chain, Walker Drive location.","WhatsApp membership/class enquiry assistant; missed-call text-back; booking reminders",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Metro Gym Port Elizabeth CBD,Gym,https://www.fresha.com/lvp/metro-gym-port-elizabeth-cbd-govan-mbeki-street-gqeberha-n6508V,041 582 1783,ariyo@metrogym.co.za,"49 Govan Mbeki St, Gqeberha Central","CBD gym on Govan Mbeki Street.","WhatsApp membership enquiry assistant; missed-call text-back; booking reminders",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Andersons Mechanical,Auto Repair,,041 451 0259,andersonsmechanical@gmail.com,"26 Sidwell Road, Sidwell, Gqeberha","Mechanical workshop: overhauls, servicing, bodywork, spray painting.","WhatsApp assistant for enquiries/job capture; missed-call text-back; automated quote follow-ups",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
ACTVon6,Gym,,076 995 3594,manager@actvon6.co.za,"6th Avenue Shopping Centre, Walmer, Gqeberha","Boutique gym at 6th Avenue Shopping Centre.","WhatsApp membership/class enquiry assistant; missed-call text-back; booking reminders",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Ignite Fitness Greenacres,Gym,,074 584 0000,dean.adams@ignitefitness.com,"The Atrium Centre, 24 Ring Road, Green Acres, Gqeberha","Fitness studio at The Atrium Centre; contact Dean Adams.","WhatsApp membership/class enquiry assistant; missed-call text-back; booking reminders",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Cobblestone Bistro & Bakery,Bakery/Bistro,https://cobblestonebistro.co.za/,+27 41 581 0182,cobblestonebakery@gmail.com,"40 6th Avenue, Walmer, Gqeberha","Bakery/bistro hosting private functions, up to 75 seated.","WhatsApp booking/function enquiry assistant; missed-call text-back during service; reminders",drafted,2026-07-14,,"Batch 3. Gmail draft created with branded signature, ready to send."
Annemie Erasmus Physiotherapy,Physiotherapy,https://erasmusphysio.co.za/,,info@erasmusphysio.co.za,"53 Lily Avenue, Sunridge Park, Gqeberha","Solo practitioner, qualified 2010, added an Orthopedic Manipulative Therapy diploma (2013) and a Master's in Physiotherapy (2021).",Automated booking/reminder assistant for a solo practice; missed-call text-back; no-show reminders,drafted,2026-07-16,,Batch 4. Draft in drafts/annemie-erasmus-physiotherapy.md
The Hive Physiotherapy,Physiotherapy,https://stindtphysio.co.za/,,beate@thehivephysio.co.za,"Mount Croix, Gqeberha (also WhatsApp 063 376 6674)","Solo practice run by Beate Stindt, recently relocated from Bloomingdales Lifestyle Village (2024) while pursuing a Master's.",WhatsApp booking/reminder assistant; missed-call text-back; automated scheduling around study commitments,drafted,2026-07-16,,Batch 4. Draft in drafts/the-hive-physiotherapy.md
Dr Hitesh Manga Chiropractor,Chiropractor,https://drmangachiro.co.za/,041 481 2099,appointments@drmangachiro.co.za,"48 Marock Rd, Bethelsdorp, Gqeberha","Practicing since 2008; specialises in sports injuries, injury-on-duty (IOD) claims, and cryotherapy.",Automated intake/booking assistant to handle routine appointment queries alongside IOD claim admin; missed-call text-back,drafted,2026-07-16,,Batch 4. Draft in drafts/dr-hitesh-manga-chiropractor.md
Benjamin Liss Optometrist,Optometrist,https://benjaminliss.co.za/,041 586 3277,info@benjaminliss.co.za,"193 Main Rd, Walmer, Gqeberha",Family eye care practice with a dedicated low-vision optometry service; asks patients not to email personal health info to a generic inbox.,Structured intake assistant to route enquiries by service (standard vs low-vision) and handle bookings; missed-call text-back,drafted,2026-07-16,,Batch 4. Draft in drafts/benjamin-liss-optometrist.md
Shambala Wellness Spa,Wellness Spa,https://shambala.co.za/,+27 41 581 3663,info@shambala.co.za,"36 6th Avenue, Walmer, Gqeberha","2021 Les Nouvelles Esthetiques Spa Award winner; medical-aesthetic services alongside massage/skin/body treatments; individual, couples and group packages.",WhatsApp booking/package-pricing assistant; missed-call text-back during treatments; automated rebooking reminders,drafted,2026-07-16,,Batch 4. Draft in drafts/shambala-wellness-spa.md
Kuyasa Accounting,Accounting,https://kuyasasa.co.za/,041 354 5008,info@kuyasasa.co.za,"2nd Floor, 50 4th Avenue, Newton Park, Gqeberha",100% female-owned; founder Akhona Sankqela has 15+ years' experience; focuses on compliance/governance for growing businesses.,Automated client onboarding/document-chasing assistant; routine compliance-question handling,drafted,2026-07-16,,Batch 4. Draft in drafts/kuyasa-accounting.md
Esti MaGuire Tax & Accounting,Accounting,https://www.estimaguiretax.co.za/,,info@estimaguiretax.co.za,"Office 10, Seagate Centre, Torquay Street, Gqeberha","Handles monthly transaction processing, personal tax (incl. crypto), and full payroll for clients across South Africa, not just locally.",Automated deadline reminders and routine-query assistant for a remote client base,drafted,2026-07-16,,Batch 4. Draft in drafts/esti-maguire-tax-accounting.md
Asset Insurance Brokers,Insurance Broker,https://www.assetins.co.za/,041 365 2235,marilyne@assetins.co.za,"5 Alexander Road, Newton Park, Port Elizabeth","Short-term insurance across Homeowners, All Risks, Motor, Commercial & Retail, and Public/Professional Liability.",Automated renewal reminders and routine policy-query assistant across a broad book,drafted,2026-07-16,,Batch 4. Draft in drafts/asset-insurance-brokers.md
Kanga Wealth Management,Financial Advisor,https://www.kangawealth.com/,041 365 0000,reception@kangawealth.com,"47 6th Avenue, Walmer, Gqeberha","Established 1996, FSCA-licensed across all financial services categories; tailored, independent wealth management.",24/7 first-touch enquiry assistant; automated consultation booking,drafted,2026-07-16,,Batch 4. Draft in drafts/kanga-wealth-management.md
The Meadow Group,Financial Advisor / Insurance,https://themg.co.za/,041 391 6136,fanie@themeadowgroup.co.za,"73 6th Avenue, Newton Park, Port Elizabeth","Multi-generational family brokerage spanning life, medical aid, investments, retirement, short-term insurance and estate/fiduciary services.",Automated enquiry routing across service lines; routine follow-up assistant,drafted,2026-07-16,,Batch 4. Draft in drafts/the-meadow-group.md
Feathers Cleaning & Hygiene,Cleaning Services,https://featherscleaners.co.za/,041 012 5019,info@featherscleaners.co.za,"14a Pickering Street, Newton Park, Gqeberha","BEE Level 1, NCCA/CIPC/UIF/SARS accredited; has a dedicated Bookings page separate from general contact.",Automated booking confirmation/reschedule assistant; routine pricing-question handling,drafted,2026-07-16,,Batch 4. Draft in drafts/feathers-cleaning-hygiene.md
DKZEE Cleaning Service,Cleaning Services,https://dkzee.co.za/,041 371 3917,vanessa@dkzee.co.za,"Linton Grange, Gqeberha","Founded 2008 by Vanessa Langford; 100% female-owned, BBBEE Level 1.",WhatsApp booking assistant for new enquiries; missed-call text-back while on jobs,drafted,2026-07-16,,Batch 4. Draft in drafts/dkzee-cleaning-service.md
Pelican Pools,Pool Services,https://pelicanpoolspe.co.za/,041 581 6453,pelicanp@mweb.co.za,"143 Heugh Road, Walmer, Gqeberha","Full-service pool builder (design/construction/remodel/repair), not just cleaning; long-established, set office hours.",Automated enquiry capture and quote follow-up assistant; missed-call text-back,drafted,2026-07-16,,Batch 4. Draft in drafts/pelican-pools.md
Classic Grove Landscaping,Landscaping,https://classicgrove.co.za/,041 368 8497,info@classicgrove.co.za,"208 Main Road, Walmer, Gqeberha",Owner-operated; covers both one-off landscape design and ongoing garden maintenance contracts.,Automated new-enquiry capture plus maintenance-schedule reminders,drafted,2026-07-16,,Batch 4. Draft in drafts/classic-grove-landscaping.md
Pestagone,Pest Control,https://pestagone.co.za/,041 818 1087,info@pestagone.co.za,"12 7th Ave, Newton Park, Gqeberha",Bundles pest control with electrical/gas inspections and cleaning under one roof; leads with free inspection and quote.,Automated enquiry routing across service lines; quote follow-up assistant,drafted,2026-07-16,,Batch 4. Draft in drafts/pestagone.md
Muse Architects,Architecture / Interior Design,https://muse-arch.co.za/,+27 41 582 5189,info@muse-arch.co.za,"280 Main Road, Walmer, Gqeberha","Award-winning practice est. 2008, working across Eastern Cape, Western Cape and Namibia (incl. NMU law faculty, Plett winery cellar).",Automated client-update and enquiry-intake assistant across multi-province projects,drafted,2026-07-16,,Batch 4. Draft in drafts/muse-architects.md
Nine Yard Design,Interior Design,https://www.nineyarddesign.com/,076 195 0874,charista@nineyarddesign.com,"192 Main Road, Walmer, Port Elizabeth","Small team covering interior and graphic design, from residential renovations up to boutique hotels and restaurants.",Automated new-enquiry capture and response assistant for a lean team,drafted,2026-07-16,,Batch 4. Draft in drafts/nine-yard-design.md
T Scott Contracts,Painting / Waterproofing / Roofing,https://tscottcontracts.co.za/,041 363 0025,info@tscottcontracts.co.za,"1 Eastbourne Rd, Mount Croix, Gqeberha","35+ years serving Gqeberha as a specialist finishing contractor across painting, waterproofing and roofing.",Automated enquiry capture and routing across three trade lines; quote follow-up assistant,drafted,2026-07-16,,Batch 4. Draft in drafts/t-scott-contracts.md
B-Unique Weddings and Events,Event Planning,https://b-unique.co.za/,082 432 3043,info@b-unique.co.za,"64 Longwy Avenue, Lorraine, Gqeberha","Owned by Showna Petzer; covers weddings plus corporate events, birthdays and engagement parties, plus stationery and decor.",Automated enquiry capture and quote follow-up across event types,drafted,2026-07-16,,Batch 4. Draft in drafts/b-unique-weddings-events.md
Maverick Coltman Photography,Photography,https://maverickcoltman.co.za/,,hello@maverickcoltman.co.za,Gqeberha,"Wedding and portrait specialist with an active, personal blog documenting real shoots.",Automated first-response and booking-confirmation assistant for a solo/small operator,drafted,2026-07-16,,Batch 4. Draft in drafts/maverick-coltman-photography.md
